Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
BATTLESHIP										
BB	73	20(4)/10(2)	AO	10	Y175 (318.31)	BB(2)	None	See 318.31: 36+8	7.2	Battleship; never built.
BBV	93		Future	10		BB(2)				Battleship Carrier;never built.
SDA	94A		Future	10		BB(2)				Conjectural Stellar Domination Ship
SDS	94		Future	10		BB(2)				Conjectural Stellar Domination Ship
DREADNOUGHTS										
DN	2	10/5	F&E	10	Y148	DN(2)	See (440.4)	Schedule: 12	3.6	Base Hull Type (DN); Early DN
DNL	91	11F/6	AO	9	Y167	DNL(2)	None	For DN: 16	4.2	Fast Dreadnought (525.1)
CVA	13	10-12(15)/5-6(6)	F&E	10	Y171	DN(2)	"From DN‡: 6+30
From DN+‡: 5+30
From DNG/H: 4+30"	Schedule: 18+30 For DN/DN+/DNG: 18+30	4.8	Heavy Carrier. Fighters are F14s (8) and A10s (7); see (302.352). Can never be converted to use A20s due to balcony.
CVA (4CVA)	—	24-30(15)/11-16(6) CVA+ECL+ 2DE(or DWA)	F&E	10	Y171	Group	Individual Ships	Individual Ships	Ships	"Heavy Carrier Group.
See (302.352) for special fighters."
DN+	17	11/6	F&E	10	Y172	DN(2)	From DN: 2	For DN: 14	4.2	Basic Hull (DN+). No early variants.
DVL	95	11(8)F/6(4)	FO	9	Y173	DNL(2)	From DNL: 2+16	For DN: 18+16	4.2	Fast carrier variant of DNL. Max one in service at any time. Special (302.352) squadron (F14s). Must be escorted (medium carrier) except when on raids.
CVN (4CVN)	—	"24-30(15)/11-16(6) CVA+NAC
+DWA(orDE)+FFE"	F&E	10	Y175	Group	Individual Ships	Individual Ships	Ships	"Heavy Carrier Group
Fighters are F14s (8) and A10s (7); see (302.352)."
DNG	61	12/6	F&E	10	Y175	DN(2)	"From DN+: 2
From DN: 4 (minor)"	For DN: 16	4.8	Basic Hull (DNG). No early variants.
DNH	90	14/7	AO	10	Y178	DN(2)	"From DNG: 2
From DN+: 4
From DN: 6"	For DN: 18	5.4	Heavy Variant of DN. No early variants.
DLM	A10	"10-11F/6
+HDW Module"	Future	9	Y180	DNL(2)	From DNL: 3	For DN: 18	4.2	Fast Dreadnought, uses HDW modules. Conjectural.
DNW	123	13/7	SO	10	Y180	DNW(2)	From NCL: NA From NCA: 10	For NCA or DN: 15	3.9	Conjectural war dreadnought
SCS (4SCS)	—	"25-30(24)/12-
16(12) SCS+NAC+ DWE+FFE"	CO	10	"Y181
or See (502.73)"	Group	Individual Ships	Individual Ships	Ships	"Space Control Ship Group Fighters (302.352) are three
squadrons: F14 (8), F18 (6), A20 (10)."
SCS	32	11-12(24)/5-6(12)	F&E	10	"Y181
or See (502.73)"	DN(2)	"From CVA: 3+18
From DN‡: 9+48
From DN+‡: 7+48
From DNG/H: 5+48"	For CVA: 21+48	4.8	"Space Control Ship Fighters (302.352) are three
squadrons: F14 (8), F18 (6), A20 (10)."
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
HEAVY BATTLECRUISERS										
BC	33	10/5	F&E	10	Y177	BC(3)	"From BCS/V: 2
See (440.4)"	For CA/DN: 10	3.0	Basic Hull (BCH)
BCS	75	10(9H4)/5(4▲H2)	AO	10	Y182	BC(3)	"From BC: 4+8+18
From BCV: 2+10"	For CA/DN/SCS: 14+8+18	3.0	Battle Control Variant of BC. F14 half- squadron (4) and F111 squadron (9).
BCV	74	10(8)/5(4)	AO	10	Y182	BC(3)	From BC: 2+16	For CA/DN/CVA: 12+16	3.0	"Medium carrier variant of BC.
F14 squadron 8 factors (302.352)."
BCJ	64	11S/5	CO	10	Y183	BC(3)	From BC: 1	For CA/DN: 10	3.0	Shock Variant (Roll: 12 on 2D6; non- shock attack factor = 9)
HEAVY CRUISERS										
CA	4	8/4	F&E	8	Y129	CA(3)	See (440.4)	Schedule: 8	2.4	Base Hull Type (CA)
GSC	16	6-8◆/3-4	SO	8	Y140	CA(3)	"From CA: 5
From CVL: 1
From COV: 1"	For CA: 15	2.4	Survey Ship, Scout; (4EW:2AF)(1EW:6AF)
CC	3	9/5	F&E	9	Y142	CA(3)	From CA: 2	"Schedule: 9
For CA (Y177): 9"	2.7	Command Variant
CS	131	8-7/4	SO	8	Y165	CS(3)	From CA: 1	"For CA: 7
(one/year)"	2.1	Strike Cruiser
CVL	16A	6-8◆(3)/3-4(1)	F&E	8	Y166	CA(3)	"From CA: 7+6
From COV: 1+6"	"For CA: 14+6
(replacement only)"	2.4	Medium Carrier, Single Ship Carrier, Scout; (4EW:2AF)(1EW:6AF)
CF	82	7-8F/4	AO	8	Y167	CA(3)	"From CA: 3
See (525.1)"	For CA: 10	2.4	Fast Cruiser (525.1)
CVS (3CVS)	—	16-19(6)/7-10(3) CVS+DE(or DWA)+FFE	F&E	9	Y167	Group	Individual Ships	Individual Ships	Ships	Medium Carrier Group
CVS	29	7-8(6)/3-4(3)	F&E	9	Y167	CA(3)	From CA: 2+12	For CA: 10+12	2.4	Medium Carrier
COV	51	6-8◆G/3-4G	CO	8	Y169	CA(3)	From CVL: 1 (Save Fighters) From CA: 6	"For CA: 13
(replacment only)"	2.4	Commando version of survey cruiser Scout (4EW:2AF)(1EW:6AF)
