Designation,"SFB
Ref #",Factors On Counter,Product,Cmnd (754.0),Date Avail,Base Hull; Size (755.0),"Conversion Cost, Source",Build Cost or Substitution,Salvage (439.0),"Notes and Special Cases; EW, Shock"
BB BATTLESHIP,,,,,,,,,,
BB,47,20/10,REIN,10,Y175,BB(2),From DN or CA: 28,(436.0): 36,9.0,"Base Hull Type, Battleship"
BBV,,,,10,,BB(2),,,9.0,Battleship carrier
SDS,,,,10,,BB(2),,,9.0,Stellar domination ship
DN DREADNOUGHT,,,,,,,,,,
DN,2,12/6,F&E,10,Y168,DN(2),From CA or CC: 6 From CA + DND: 2 From CC + DND: 2,Schedule: 16,4.0,Base Hull Type (DN)
DNL,63,11F/6,AO,9,Y168,DNL(2),From CA/CC: 6,For DN: 16,3.5,Fast Dreadnought (525.1)
STL,65,12✛/6,AO,10,Y173,DN(2),From CA: 10‡ From DN: 5 From STT: NA,For DN: 18,4.0,Mauler variant of DN (525.327); Maximum of one in service
CVA,48,11-12(12)/6(6),CO,10,Y175,DN(2),"From CV: 8+12
From DN: 4+24
From CA: 7+24‡",For DN: 18+24,4.0,"Heavy Carrier, conjectural (513.41)"
CVA (4CVA),—,"30-31(12)/16(6) CVA+CWE+2DWE
Counter Incorrect",CO,10,Y175,Group,Individual Ships,Individual Ships,Ships,"Heavy Carrier Group, Conjectural (513.41)"
DNW,86,12/6,SO,10,Y177,DNW(2),From DD: 9,For DN: 14,2.8,War Dreadnought; conversion counts against DN production.
DNWP,86,12P/6P,SO,10,Y178(B),DNW(2),"From DD: 14
From DNW: 3",For DN: 19,2.8,"War Dreadnought; conversion counts against DN limit. PF Tender, no EW."
SCS,29,12P(6)/6P(3),F&E,10,Y179,DN(2),"From DN: 5+12
From CVA: 5 From CA: 10+12‡
From CV: 12‡ + PFs",For DN: 21+12,4.0,Space Control Ship
SCS (4SCS),—,31P(6)/16P(3) SCS+CWE+2DWE,F&E,10,Y179,Group,Individual Ships,Individual Ships,Ships,Space Control Group
DNP,2R,12P/6P,AO,10,Y179,DN(2),From DN: 3 From CA: 8‡,For DN: 19,4.0,True PFT variant of DN (525.42)
DNH,62,14/7,AO,10,Y180,DN(2),"From DN: 2
From CA: 8",Schedule: 18,4.5,Heavy Variant
BC BATTLECRUISER,,,,,,,,,,
BC,3,10/5,F&E,10,Y167,BC(3),From CL: 6,Schedule: 10,2.5,Base Hull Type (BC)
BCH,36,11/5,F&E,10,Y180,BC(3),"From CL: 6
From BC: 1",For BC/DN: 11,2.75,Heavy Variant
BCP,36R,11P/5P,AO,10,Y180,BC(3),"From BCH: 3
From BC: 4 From CL: 8‡","For BC/DN
/CVA/SCS: 14",2.75,True PFT variant of BCH (525.41)
BCV,49,11(6)/5(3),AO,10,Y180,BC(3),"From BCH: 2+12
From BC: 3+12
From CL: 7+12‡",For BC/DN: 13+12,2.75,"Medium Carrier (525.53), conjectural (513.4)"
Designation,"SFB
Ref #",Factors On Counter,Product,Cmnd (754.0),Date Avail,Base Hull; Size (755.0),"Conversion Cost, Source",Build Cost or Substitution,Salvage (439.0),"Notes and Special Cases; EW, Shock"
BCS,50,11P(3)/5P(1),AO,10,Y181,BC(3),"From BCV: 2
From BCP: 2+6
From CL: 10+6‡ From BCH: 5+6
From BC: 6+6;","For BC/DN
/CVA/SCS: 16+6",2.75,Battle Control Ship (525.54)
CA HEAVY CRUISER,,,,,,,,,,
CA,4,8/4,F&E,9,Y119,CA(3),(440.4)+(433.25),Schedule: 8,2.0,Base Hull Type (CA)
CC,30,9/5,F&E,9,Y119,CA(3),From CA: 1,For CA: 9 (Y180+),2.25,Command Variant
SR,32,3-8T◆/1-4,SO,8,Y125,CA(3),"From CA‡: 8
From TG: 5",For CA: 13,2.0,"Survey Ship, Scout, EW=2; fully functional tug (pallets and K-pods). Max EW including scout pods/pallet is 4."
CF,56,7-8F/4,AO,8,Y165,CA(3),From CA: 3,For CA: 10,2.0,Fast Cruiser (525.1)
STT,21,10✛/4,F&E,8,Y170,CA(3),From CA: 5,For CA:10,2.0,Mauler variant of CA
CV,12,8(6)/4(3),F&E,9,Y172,CA(3),From CA: 2+12,For CA: 10+12,2.0,Heavy Carrier (515.21)
CV (4CV),—,23(6)/12(3) CV+CWE+2FFE,F&E,9,Y172,Group,Individual Ships,Individual Ships,Ships,Heavy Carrier Group (515.21)
CVD,68,4-8(12)/2-4(6),FO,9,Y173,CA(3),"From CA: 3+24
From CV: 2+12",For CA: 10+24,2.0,"Heavy Carrier, oversized squadron, never built historically"
DCS,89,2-9◆P(6)/1-5P(3),FO,9,Y178,CA(3),"From CA: 5+12
From CV: 3",For CA: 13+12,2.0,"Division Control Ship (PFT, Heavy Carrier), Scout, EW=2, only example built in Y180."
CCX,201,12/6,AO,10,Y182,CA(3),"From CC: 5
From CA: 6",For CA: 12,3.0,X-Ship
TG TUG & PODS & PALLETS,,,,,,,,,,
TGC,16,8/4,F&E,8,Y124,TG(3),"From CA: 4
From TGP: 3",For CA: 8,2.0,Base Hull Type; Tug
TGP,15,4-8/2-4,F&E,6,Y124,TG(3),From CA: 4,For CA: 6,1.5,Base Hull Type; Tug
AP+,20,0GG/None,CO,0,Y125,Pallet,None,(521.711): 4,1.0,"Troop Pallet, max two in service, tugs only."
BP+,17,4/None,F&E,2,Y149,Pallet,None,(431.22): 6,1.0,"Battle Pallet, limit 2, tugs only"
REP POD,—,0/None,F&E,0,Y159,Tug Mission,—NA—,Replacement: 5,0.0,See (422.8)
KBP,37D,2/None,CO,2,Y166,Pod,None,(431.22): 2,0.5,"K-Type Battle Pod, max 2 in service"
T-Pod,37C,0G/None,PO,0,Y166,Pod,—NA—,(521.712): 2,0.5,K-type Troop Pod (1 Battalion)
KTP,37C,0G/None,CO,0,Y166,Pod,None,(521.712): 2,0.5,"K-type Troop Pod, max two in service"
SP+,101,0◆/0,AO,1,Y168,Pallet,None,(431.22): 5,1.0,"Scout Pallet, EW=4; see (317.53); max one in service"
KSP,98,0◆/None,AO,0,Y168,Pod,None,(431.22): 3,0.5,"K-type, Scout Pod, EW=2 (0 if tug or LTT is crippled); max 2 in service; cannot be used by Klingons"
Designation,"SFB
Ref #",Factors On Counter,Product,Cmnd (754.0),Date Avail,Base Hull; Size (755.0),"Conversion Cost, Source",Build Cost or Substitution,Salvage (439.0),"Notes and Special Cases; EW, Shock"
