Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
HAWK SERIES (POST-SMARBA ROMULAN CONSTRUCTION)										
KING CONDOR BATTLESHIP										
KCN	81	20(4)/10(2)	REIN	10	Y175 (436.0)	KCN(2)	—NA—	Special: 36+8	9.0	Battleship, conjectural.
CONDOR DREADNOUGHT										
CON	6	13/7	F&E	10	Y170	CON(2)	See (440.4).	Schedule: 17	4.25	DN: Base Hull
CNV	45	13(12)/7(6)	F&E	10	Y175	CON(2)	From CON: 4+24	For CON: 19+24	4.25	Heavy Carrier
CNV (4CNV)	—	30(12)/17(6) CNV+SPM+2SKE	F&E	10	Y175	Group	From CON+ SP+ 2SK: 5+24	Individual Ships	Ships	Heavy Carrier Group
CNH	92	15/8	AO	10	Y178	CON(2)	From CON: 2	For CON: 19	4.75	Heavy Variant
PHX (SCS)	49	13P(6)/7P(3)	F&E	10	Y182(B)	CON(2)	"From CNV: 5
From CON: 5+12
From ROC: 2+12"	"For CON: 22+12
(502.7)"	4.25	Space Control Ship
PHX (4PHX)	—	30P(6)/17P(3) PHX+SPM+2SKE	CO	10	Y182(B)	Group	Individual Ships	Individual Ships	Ships	Space Control Group
ROC	44	13P/7P	AO	10	Y183	CON(2)	From CON: 3	For CON: 20	4.25	Dreadnought with PFs but not fighters
SHRIKE LIGHT DREADNOUGHT										
SHR	93	11F/6	AO	9	Y172	SHR(2)	None	For CON: 16	3.5	Fast Dreadnought (525.1)
MODULAR DREADNOUGHTS										
DMH	95	14/7	AO	10	Y171	DMH(2)	None.	For CON: 20	5.0	Modular DN, see 525.61.
MGH	100	12-14/6-7	AO	10	Y176	MGH(2)	From OMH: 4	For CON: 20	5.0	Modular DN, see (525.62)
OMH	101	12-11/6	AO	10	Y176	OMH(2)	None	For CON: 16	4.0	Modular DN, see (525.63).
SUPER-HEAVY CRUISERS										
SUP	34	10(4)/5(2)	F&E	9	Y170	FH(3)	"From NH: 2+8
From FH‡: 3+8"	"Schedule: 11+8
Sub NH/CON: 11+8"	2.5	Medium Carrier (single ship) Command Cruiser
NH	72	10/5	F&E	9	Y173	FH(3)	From FH: 2 From SP: 5‡ (confirmed)	Schedule: 10	2.5	Command Cruiser
SUB	29	9-10(12)/4-5(6)	F&E	9	Y173	FH(3)	"From SUP: 2+16
From NH: 4+24
From FH‡: 5+24
From SPB‡: 5+8"	For SUP or CON or CNV or SCS: 12+24	2.5	Heavy Carrier
SUB (4SUB)	—	26-27(12)/14-15(6) SUB+SPM+2SKE	F&E	9	Y173	Group	Individual Ships	Individual Ships	Ships	Heavy Carrier Group, uses SP instead of SPM until Y175.
