Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
BATTLESHIPS										
BB	47	20(3)/10(1▲)	REIN	9	Y175 (436.0)	BB(2)	None	(436.0): 36	5.0	Battleship, conjectural.
BBV	65		TO?	10		BB(2)	From BB: 4+24	For BB: 40+24	5.0	Battleship-Heavy carrier, conjectural.
SDS	66		TO?	10		BB(2)	From BB: From BBV:	For BB: 41+12+PFs	5.0	Stellar Domination Ship, Conjectural
DREADNOUGHTS										
DN	11	14/7	F&E	10	Y171	DN(2)	None	Schedule: 18	4.5	Basic Hull Type (DN)
CVA	48	14(12)/7(6)	FO	10	Y175	DN(2)	From DN: 4+24	For DN: 20+24	4.5	Heavy Carrier; Conjectural (513.41)
DNE	63		NO?	10	Y166	DN(2)	None	Schedule:		Early form of dreadnought
CVA (4CVA)	—	33(12)/17(6) CVA+HDE+2BDE	FO	10	Y175	Group	Individual Ships	Individual Ships	Ships	Heavy Carrier Group; Conjectural (513.41)
SCS (4SCS)	—	33P(6)/17P(3) SCS+HDE+2BDE	CO	10	Y183	Group	Individual Ships	Individual Ships	Ships	Space Control Ship Group
DNG	CL26 A5	14GGG/7GG	AO	10	Y175	DN(2)	From DN: 3	For DN: 18	4.5	Commando Variant of DN, limited production (525.83).
DNH	61	16/8	AO	10	Y177	DN(2)	From DN: 2	Schedule: 20	5.0	Heavy Variant
DNT	64	14+/7	AO	10	Y174	DN(2)	From DN: 4	For DN: 18	4.5	Special Variant, counts as mauler. Limit one in service (525.82).
SCS	20	14P(6)/7P(3)	F&E	10	Y183	DN(2)	"From DN: 5+12
From CVA: 5"	For DN: 23+12	4.5	Space Control Ship
DNC	CL22	13/7	AO	10	Y177	DNC(2)	From CL or BC: 8	For DN: 18	4.5	"Basic Hull Type (DNC)
Only one conversion per turn (706.3)"
DND	78		TO?	10	Y172	DND(2)	From HD:	For		Basic Hull Type (DND), Conjectural- Impossible.
DNL	62	11F/6	AO	9	Y172	DNL(2)	None	For DN: 16	3.5	Fast Dreadnought (525.1)
DNM	86		NO?		Y176	DNL(2)	From DNL:	For DN:		Medium Dreadnought
HEAVY BATTLECRUISERS										
BCH	40	12/6	F&E	10	Y180	BCH(3)	"From BC/CC: 3
From CCH: 2 From CL: 5‡"	For BC/DN: 12	3.0	BCH. Basic Hull
BCS	50	12P(3)/6P(1)	AO	10	Y183	BCH(3)	"From BC: 7‡+6 From BCH: 5+6
From BCV: 2 From CCH: 6‡+6 From CV: 5‡
From CVS: (4?) (3?)"	For BC/DN/CVA: 17+6	3.0	Battle Control Ship (525.54)
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
BCV	49	12(6)/6(3)	AO	10	Y180	BCH(3)	"From BCH: 2+12
From CCH: 3+12
From CV: 5‡ From CVS: 3 From BC: 4‡+12"	For BC/DN/CVA: 14+12	3.0	Medium Carrier; conjectural (525.85)
BATTLECRUISERS										
BC	19	10/5	F&E	8	Y120	BC(3)	From CL: 3	Schedule: 10	2.5	CA. Basic Hull
BCM	89		NO?		Y175	BC(3)	From BC:			Conjectural Mauler
BF	55	9-10F/5	AO	8	Y168	BC(3)	From BC: 3 From CL: 5‡	For BC: 12	2.5	Fast Cruiser (525.1)
CC	18	10/5	F&E	9	Y139	BC(3)	From BC: 1 From CL: 3‡	For BC: 10 (Y178+)	2.5	Command Variant
CCH	51	11/6	AO	9	Y174	BC(3)	From BC:2 From CC: 1 From CL: 4‡	"For CC: 11
For BC: 11 (Y178+)"	2.75	Heavy Variant
CV (3CV)	—	21(6)/11(3) CV+CLE+DE	F&E	6	Y173	Group	Individual Ships	Individual Ships	Ships	Medium Carrier Group
CCX	201	14/7	AO	10	Y182	BC(3)	From BC or CC: 6 From CL: 10	For BC: 14	3.5	X-Ship
CVS	52	10(6)/5(3)	AO	9	Y175	BC(3)	"From BC: 2+12
From CV: 3 From CL: 4+12‡"	For BC: 12+12	2.5	Medium Carrier; Conjectural (513.41); see (527.85)
CVX	X1R	??(8H)/??(4H)	TO?			BC(3)	From CVS: From BC:	For BC:		X-Technology medium carrier with heavy fighters, raider-no escorts needed
HSR	60	6-10◆/3-5	SO	8	Y181	BC(3)	From BC: 5 From CL: 7‡ From SR: 3	For BC: 15	2.5	Survey Ship, Scout, (3EW:2AF), (1EW:6AF)
HSRV	60A	6-10(3)◆/3-5(1▲)	SO	8	Y181	BC(3)	"From BC: 5+6 From CL: 7+6‡ From SR: 3+6
From HSR: 0+6"	For BC: 15+6	2.5	Survey Ship, Scout, (3EW:2AF), (1EW:6AF); single ship medium carrier
MEDIUM CRUISERS										
CM	39	10/5	CO	8	Y173	CM(3)	From HD: 3	Schedule: 8	2.0	"Basic Hull Type (CM)
One conversion per turn (706.3)"
CMF	71	9-10F/5	SO	8	Y175	CM(3)	From HD‡: 5 (minor) From CM: 2	"For CM: 10
(525.12)"	2.0	Fast raider variant of NCA
CMG	74	6-10G/3-5G	SO	8	Y175	CM(3)	"From HD‡: 4 (minor) From HCD: 4 (minor)
From CM: 2"	For CM: 8	2.0	Heavy Commando Cruiser, variant of NCA.
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
CMP	73	6-10P◆/3-5P	SO	8	Y182(B)	CM(3)	"From HD‡: 7
From HDP: 3
From CM: 5"	For CM: 13	2.0	PF Tender variant of NCA. Scout (2EW:2AF, 1EW: 6AF).
CMV	76	10(6)/5(3)	FO	8	Y175	CM(3)	"From CM: 2+12
From HV: 3 From HD: 4+12‡"	For CM: 10+12	2.0	Medium Carrier, variant of CM.
CMX	202	14/7	AO	9	Y184	CM(3)	From HDX: 4 From CM: NA	For CM: 14	3.5	X-Ship
MCC	43	10/5	AO	9	Y174	CM(3)	From CM: 1 From HD: 4‡ (@)	None	2.0	Command version of CM. @ = unusual conversion cost confirmed.
MCM	923	10✛/5	NO?	8	Y175	CM(3)	From CM: 5	For CM: 10	2.0	Conjectural Mauler
MDS	75	"4-10◆P(6)
/2-5P(3)"	FO	8	Y182	CM(3)	"From CM: 5+12
From HD: 7‡+12 From HV: 6‡"	For CM: 12+12	2.0	Division Control Ship, Heavy Carrier (cannot be treated as medium), Scout, EW=2.
MSC	77	6-10◆/3-5	SO	8	Y175	CM(3)	"From HD‡: 6
From HDS: 4
From CM: 4"	For CM: 12	2.0	Scout Variant of CM (NCA). (4EW:3AF), (1EW:6AF)
MSR	72	6-10◆/3-5	SO	8	Y175	CM(3)	From CM: 5 From HD: 7‡ From HDS: 5‡	For CM: 13	2.0	Survey Ship, Scout, (3EW:2AF), (1EW:6AF)
MSRV	72A	6-10(2)◆/3-5(1)	SO	8	Y175	CM(3)	"From CM: 5+4
From MSR: 0+4
From HD: 7+4‡ From HDS: 5+4‡"	For CM: 13+6	2.0	Survey Ship, Scout, (3EW:2AF), (1EW:6AF); single ship medium carrier
MSV	85	4-10◆(8H)/2-5(4H)	SO	8	Y180	CM(3)	"From SRV/HSV: 3
From CM: 5+16
From CMV: 3+4
From HD‡: 7+16"	For CM: 13+16	2.0	Scout Carrier variant of CM, heavy fighters; 3EW
LIGHT CRUISERS										
CL	3	8/4	F&E	6	Y120	CL(3)	From CL?: 1 (440.4)	For HD/BC: 8	2.0	Basic Hull Type (CL) §
CLE	38	8■/4■	F&E	6	Y173	CL(3)	From CL: 1	For HD/BC: 9	2.0	Heavy Escort §
COM	29	6-8G/3-4G	CO	6	Y124	CL(3)	From CL: 2	For CL: 8	2.0	Commando Ship §
CV	16	8(6)/4(3)	F&E	6	Y173	CL(3)	From CL: 2+12	For CL: 10+12	2.0	Medium Carrier, no early variants
LSC	10	2-8◆/0-4	CO	6	Y170	CL(3)	From CL: 4	For CL: 12	2.0	Heavy Scout; EW = 4 §
SR	30	4-8◆/2-4	SO	6	Y150	CL(3)	"From CL: 5
From LSC: 3"	For CL: 13	2.0	Survey Ship, Scout, (3EW:2AF) (1EW:4AF).
SRV	30A	4-8(3)◆/2-4(1▲)	SO	6	Y175	CL(3)	"From CL: 5+6
From LSC: 3+6
From SR: 0+6"	For CL: 13+6	2.0	Survey Ship, Scout (3EW:2AF) (1EW:4AF); single ship medium carrier
HEAVY DESTROYERS										
HD	12	7/4	F&E	6	Y169	HD(3)	None	Schedule: 5	1.25	CW. Basic Hull §
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
HDE	24	7■/4■	F&E	6	Y173	HD(3)	From HD: 1	For HD: 6	1.25	Heavy Escort §
HDM	90		NO?		Y175	HD(3)	From HD:	For HD:		Conjectural Mauler
HDP	26	4-7P◆/1-4P	F&E	6	Y182	HD(3)	"From HD: 5
From HDS: 3"	For HD: 10	1.25	Scout, PFT; EW=2
HDS	23	3-7◆/1-4	F&E	6	Y172	HD(3)	From HD: 3	For HD: 8	1.25	Scout; EW=3 §
HDX	203	11/6	AO	7	Y182	HD(3)	From HD: NA	For HD: 11	2.75	X-ship §
HV (3HV)	—	20(6)/11(3) HV+HDE+BDE	F&E	6	Y174	Group	Individual Ships	Individual Ships	Ships	Medium Carrier Group
CVD	68	6-8(12)/3-4(6)	FO	6	Y176	HD(3)	"From HD: 3+24
From HV: 2+12
From HVD: 1+12"	For HD: 8+24	1.25	Escorted as a Heavy Carrier; not an oversized squadron.
HCD	44	5-7G/3-4G	CO	6	Y171	HD(3)	From HD: 2	For HD: 5	1.25	Commando Ship §
HDX-scout	X1R		TO?			HD(3)				X-technology scout, EW=??
HSV	70	2-7◆(8H)/1-4(4H)	FO	6	Y178	HD(3)	"From HV: 3+4
From HD: 5+16"	For HD: 9+16	1.25	Scout (Medium) Carrier, heavy fighters, EW=2.
HV	27	7(6)/4(3)	F&E	6	Y174	HD(3)	From HD: 2+12	For HD: 7+12	1.25	Medium Carrier, no early variants
HVD	67	7-8(6)/3-4(3)	FO	6	Y176	HD(3)	From HD: 2+12	For HD: 6+12	1.25	Medium Carrier
HVH	27	7(8H)/4(4H)	AO	6	Y179	HD(3)	"From HD: 2+16
From HV: 0+4"	For HD: 7+16	1.25	Medium Carrier with heavy fighters
HVP	69	4-7(9)/2-4(4▲)	FO	6	Y176	HD(3)	"From HD: 3+18
From HV: 2+6"	For HD: 7+18	1.25	Medium Carrier, Oversized Squadron.
LTT	28	5-7/3-4	CO	6	Y172	HD(3)	From HD: 3	For HD: 5	1.25	Light Tactical Transport
MDH	90	7✛/4	NO?	6	Y175	HD(3)	From HD: 4	For HD: 7	1.25	Conjectural Mauler
HEAVY BATTLE DESTROYERS										
HDW (HBD)	58	6-7(1)/3-4	AO	6	Y180	HDW(4)	"From BDD: 2 + 1
From DD: 3+1‡"	For BDD: 5+1	1.25	Modular Ship (525.2). § in some modes. Designated HBD in SFB.
HDWE	58	6-7(1)■/3-4■	AO	6	Y180	HDW(4)	See (525.2) in AO.	(525.2) in AO.	1.25	Escort mode of HDW §
HDWV	58	6-7(6)/3-4(3)	AO	6	Y180	HDW(4)	See (525.2) in AO.	(525.2) in AO.	1.25	Carrier mode of HDW.
BATTLE DESTROYERS										
BD	17	6/3	F&E	5	Y168	BD(4)	From DD: 2	Schedule: 4	1.0	DW. Basic Hull §
BDE	36	6■/3■	F&E	5	Y173	BD(4)	"From BD: 1
From DD or DE: 2‡"	For BD: 5	1.0	Light Escort §
BDG	54	4-6G/2-3	CO	5	Y172	BD(4)	From BD or DDG: 2 From DD: 3‡	For BD: 4	1.0	Commando Ship §
BDP	46	3-6P◆/1-3P	CO	5	Y182(B)	BD(4)	"From BD: 5 From SC: 5‡ From DD: 6‡
From PFT or BDS: 3"	For BD: 9	1.0	PF Tender, Scout; EW = 2
BDS	45	2-6◆/1-3	F&E	5	Y168	BD(4)	"From BD: 2
From SC: 3 From DD: 3‡"	For BD: 6	1.0	Scout; EW = 2 §
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
BDSX	205	4-9◆/2-5◆	AO	6	Y184	BD(4)	"From BDX: 3
From BDS: 5 From SC: 6‡ From DD: 7‡"	For BD: 12	2.25	"X-Ship §, Scout:
EW = 3 (Crippled EW = 1)"
BDV	56	6(4)/3(2)	AO	6	Y176	BD(4)	"From BD: 1+8
From DD‡: 2+8"	For BD: 5+8	1.0	Escort Carrier
BDX	204	9/5	AO	6	Y183	BD(4)	From DD: 6‡ From BD: 5	For BD: 9	2.25	X-Ship §
BFR	A8	2-6[8]■/1-3	TO?	5	Y178	BD(4)	From BD: 1+6 From DD: 2‡+6	For BD: 5+6	1.00	Forward Carrier Resupply Ship, Light Escort § From FCR = 2
DESTROYERS										
DD	4	5/3	F&E	4	Y119	DD(4)	From DD?: 1(440.4)	For BD: 3	0.75	Basic Hull Type (FF) §
DDG	53	3-5G/2-3	CO	4	Y126	DD(4)	From DD: 2	For DD: 3	0.75	Commando Variant of DD §
