Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
BATTLESHIPS										
MNR	55	20(9)/10(4▲)	REIN	10	Y175	MNR(2)	None	Special Rules: 36+9	5.0	Battleship; none built; Hybrid carrier
BBV						MNR(2)				Battleship carrier
SDS						MNR(2)				Stellar Domination Ship
DREADNOUGHTS										
PAL	4	11-12(6)/6(3)	F&E	10	Y169	DN(2)	See (440.4).	Schedule: 16+6	4.0	Base Hull (DN)
LGE	82	9-11(6)F/6(3)	AO	9	Y168	DNL(2)	None	For PAL: 16+6	3.5	Fast Dreadnought (525.1)
IC	84	5-12(20)/2-6(10)	AO	10	Y171	DN(2)	From PAL: 6+34@	"For PAL: 20+40
See (525.316)"	4.0	Heavy True Carrier, Paladin hull; one standard squadron and one oversized squadron. @ = Unusual conversion cost confirmed.
ID (4ID)	—	20-26(15)/11-13(7) ID+DE+2AH	F&E	10	Y173	Group	From PAL+DD+2FF: 5 + 19	Individual Ships	Ships	Heavy Carrier Group
ID (CVA)	42	10-12(12)/5-6(6)	F&E	10	Y173	DN(2)	From PAL: 4+18	For PAL: 18+24	4.0	Heavy True Carrier
SD	42	"10-12(8H6)
/5-6(4H3)"	AO	10	Y178	DN(2)	"From PAL: 2+22
From ID: 0+4"	For PAL: 18+28	4.0	Heavy True Carrier with heavy fighter squadron and standard squadron
DNW	109	11-12(6)/6(3)	SO	10	Y178	DNW(2)	"From MHK: 5+2
From HR‡: 7+3"	For DN: 14+6	3.5	Kiowa War Dreadnought. Conversion counts against Paladin production.
REG	81	13-14(6)/7(3)	AO	10	Y180	DN(2)	From DN: 2	Schedule: 18+6	4.5	Heavy Variant
DNM	110		NO?	10	Y180	DNL(2)	From DNL:	For DN:		Medium Dreadnought; none were built.
LP (4LP)	—	"25-31P(13)/
13-16P(5) LP+NEC+DE+DWE"	FO	10	Y180(B)	Group	Individual Ships	Individual Ships	Ships	Space Control Group
LP	54	11-12P(6)/5-6P(3)	F&E	10	Y180(B)	DN(2)	"From ID: 5
From PAL: 5+6
From SD: 5"	For PAL: 21+12	4.0	Space Control Ship, True Carrier
HEAVY BATTLECRUISERS										
OV	43	11-10(3)/5(1)	F&E	10	Y180	BCH(3)	None	For CC/DN: 10+3	2.5	Base Hull (BCH)
OS	56	11-10(9)/5(4)	AO	10	Y181	BCH(3)	From OV:2+15	"For CC/DN
/CVA/SCS: 12+18"	2.5	Medium True Carrier
OM	57	11-10P(6)/5P(3)	AO	10	Y182	BCH(3)	"From OV: 5+9
From OS: 2"	"For CC/DN
/CVA/SCS: 15+12"	2.5	Battle Control Ship (525.54)
HEAVY CRUISERS										
RN	2	6-8(4)/4(2)	F&E	8	Y133	CA(3)	From DG: 3+2	Schedule: 6+4	2.0	Base Hull (Fusion CA)
LC	40	7-9(3)/5(1)	AO	9	Y133	CA(3)	"From RN: 2
From LB: 3+1
From LM: 1"	For CC: 7+3	2.25	Command Variant
TG	20	3-8(2)/0-4(1)	F&E	8	Y139	CA(3)	From RN/DG: 4	For CA: 6+2	1.5	Tug
DG	8	9-8(2)/4(1)	F&E	8	Y157	CA(3)	From RN: 3	Schedule: 8+2	2.0	Base Hull (Hellbore)
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
LM	19	8-9(3)/5(1)	F&E	9	Y159	CA(3)	"From RN: 2
From LB: 3+1
From LC: 1"	For CC: 8+3	2.25	Command variant
LB	30	10-9(2)/5(1)	F&E	9	Y161	CA(3)	"From DG: 2
From LC/LM: 3"	For CC: 9+2	2.25	Command Variant
THR	67	8F(2)/4(1)	AO	8	Y167	CA(3)	From RN/DG: 3	For CA: 10+2	2.0	Fast Cruiser (525.1)
CV	15	3-8(11)/1-4(6)	F&E	8	Y170(B)	CA(3)	"From RN: 2+18
From DG: 2+20"	For CA: 10+22	2.0	Heavy True Carrier; single oversized squadron. Treated as Medium Carrier (interdiction) from Y176 onward.
CV (4CV)	—	13-22(14)/7-11(7) CV+DE+2AH	F&E	8	Y170(B)	Group	Individual Ships	Individual Ships	Ships	Heavy Carrier Group
PIG	A14	"4-8(1)GG◆
/2-4G▲"	TO?	8	Y171	CA(3)	From PIC: 1	For CA: 13+2	2.00	Commando variant of survey ship, EW=3
PIC	68	4-8(1)◆/2-4▲	SO	8	Y171	CA(3)	From CA: 5	For CA: 13+2	2.0	Survey Ship, Scout, EW=3
PIV	68A	4-8(4)◆/2-4(2)	SO	8	Y171	CA(3)	"From RN: 5
From DG: 5+6
From PIC: 0+7"	For CA: 13+8	2.0	Survey Ship, Scout, EW=3; single ship medium carrier
CAM	113	10(1)✛/4	NO?	8	Y175	CA(3)	From CA: 5	For CA: 10+1	2.0	Conjectural Mauler
RGR	88	6-8(6)/4(3)	FO	8	Y175	CA(3)	From RN: 1+2	For RN: 8+6	2.0	Ragnar, unusual variant of RN with more fighters. First ship of this type costs 6+6. Hybrid ship.
LE	87	"3-9◆(8H6)
/1-5(4H3)"	FO	9	Y177	CA(3)	"From LB: 5+26
From LM/LC: 4+25
From CV: 3+6"	For CC: 13+28	2.25	Area Control Ship (Heavy/Medium Carrier), Scout, EW=2.
LHE	116	"3-9P◆(6)
/1-5P(3)"	FO	9	Y180(B)	CA(3)	"From LB: 5+10
From LM/LC: 5+9
From CV: 3"	For CC: 13+12	2.25	Division Control Ship, Heavy/Medium Carrier+PFT, Scout, EW=2.
RNX	202	9-12(7)/5-6(4)	AO	9	Y182	CA(3)	From RN: 6+10	For RN: 10+14	3.0	X-Ship
DGX	203	12(2▲)/6(1)	AO	9	Y183	CA(3)	From DG: 5+3	For DG: 12+5	3.0	X-ship
LBX	201	13(2▲)/7(1)	AO	10	Y184	CA(3)	From LB: 5+3	For CC: 13+5	3.25	X-ship, Command variant
NEW HEAVY CRUISERS										
MHK	61	6-8(4)/3-4(2)	CO	8	Y175	NCA(3)	"From HR: 3+1
From IRQ: 3+3"	Schedule: 6+4	1.5	Base Hull (Fusion NCA)
IRQ	60	8(1)/4	CO	8	Y175	NCA(3)	"From TR: 3+1
From MHK: 3"	Schedule: 6+1	1.5	Base Hull (Hellbore NCA)
CHY	62	7-8(3)/4(1)	AO	8	Y176	NCA(3)	"From MHK: 3
From IRQ: 3+3"	For MHK: 6+3	1.5	Base Hull; unique ship (525.318)
IRC	93	10-9(1)/5(▲)	SO	9	Y176	NCA(3)	"From TR‡: 4+1
From IRQ: 2 From MHK: 4‡"	For IRQ: 7+1	1.75	Command Variant of IRQ.
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
IRF	96	8(1)F/4▲	SO	8	Y176	NCA(3)	"From IRQ: 2
From MHK: 5
From TR‡: 4+1"	"For IRQ: 8+1
(525.12)"	1.5	Fast raider variant of IRQ (NCA)
MKE	101	6-8■(4)/3-4■(2)	FO	8	Y176	NCA(3)	"From MHK: 1
From IRQ: 1+3
From NEC: 3+1"	For NCA: 7+4	1.50	"Heavy Escort.
Convert from HR‡: 3+1; from TR‡: 3+4"
MKI	94	8-9(3)/4-5(1▲)	SO	9	Y176	NCA(3)	"From MHK: 2
From IRQ‡: 4+2"	For NCA: 7+3	1.75	Command Variant of MHK.
MKV	95	3-8(9)/1-4(4▲)	FO	8	Y176	NCA(3)	"From MHK: 2+14
From NCV: 3+6"	For NCA: 8+18	1.50	Medium Carrier, oversized squadron. Convert from CVM: 3
MSR	97	3-8(2)◆/1-4(1)	SO	8	Y176	NCA(3)	"From MHK: 5
From IRQ: 5+1
From NSC: 6
From HR‡: 7
From TR‡: 7+2"	For NCA: 11+2	1.5	Survey Ship, Scout, EW=3
MSV (MSRV)	97A	3-8(4)◆/1-4(2)	SO	8	Y176	NCA(3)	"From MHK: 5+4
From IRQ: 5+7
From MSR: 0+6
From HR‡: 7+5
From TR‡: 7+8"	For NCA: 11+8	1.5	Survey Ship, Scout, EW=3; Medium single-ship carrier
MTG	100	3-8(2)T/1-4(1)	SO	8	Y176	NCA(3)	"From MHK: 3
From IRQ: 3+1
From HR‡: 5
From TR‡: 5+2
From LTT: 3"	For NCA: 6+2	1.5	Llama heavy tug
VED	102	3-8◆(8H)/1-4(4H)	FO	8	Y177	NCA(3)	"From MHK: 5+12
From IRQ: 5+15
From NCV: 5+4‡ From SEN: 3
From CVM: 5+2
From HR‡: 7+13
From TR‡: 7+16"	For NCA: 10+16	1.50	Medium Carrier, Scout, EW=3, designed to use Heavy Fighters.
MKH	95	"3-8(8H3)
/1-4(4H1▲)"	FO	8	Y178	NCA(3)	"From MHK: 2+15
From NCV: 3+7
From CVM: 3+1"	For NCA: 8+19	1.5	"Medium Carrier with heavy fighters. Three factors of standard fighters are ""casual"" fighters."
DCS (Sioux)	99	3-8◆P(6)/1-4P(3)	FO	8	Y180	NCA(3)	"From MHK: 5+8
From IRQ: 5+11
From NCV/CVM: 5
From VED: 5+12"	For NCA: 10+12	1.50	Division Control Ship, Heavy/Medium Carrier+PFT, Scout EW=2.
MKP	98	3-8◆P(1)/1-4(▲)P	SO	8	Y180	NCA(3)	"From NCA: 5
From HR‡: 7
From TR‡: 7+1"	For NCA: 11+1	1.5	PF Tender variant of NCA. Scout. EW=2.
PEGASUS CRUISERS										
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
PGS	CL22 947	3-7◆/0-4	AO	6	Y160	PGS(3)	From PG?: 2	For DD: 7	1.75	Scout variant of Pegasus; EW=2 §
PGC	CL25 A1	7(3)/4(1)	AO	6	Y172	PGS(3)	From PG?: 3	For DD: 7+3	1.75	Light cruiser variant of Pegasus §
PGF	CL25 A5	3-7(2)◆/1-4(1)	AO	10	Y172	PGS(3)	From PG?: 3	For DD: 8+2	1.75	Flagship-scout Pegasus, EW=2 §
PGG	CL25 A2	3-7◆GG/1-4G	AO	6	Y172	PGS(3)	From PG?: 3	For DD: 7	1.75	Commando-scout Pegasus, EW=2 §
PGV	90	4-7(6)/2-4(3)	AO	6	Y172	PGS(3)	From PG?: 3+12	For DD: 8+12	1.75	Carrier Variant of Pegasus
PGE	CL29	4-7(2)■/2-4(1)■	FO	6	Y174	PGS(3)	From PG?: 1	For DD/PG: 8+2	1.75	Heavy escort variant of Pegasus.
PGR	122	3-7(1)◆/1-4▲	SO	8	Y174	PGS(3)	"From PG?: 5
From PGS: 3"	For DD: 11+1	1.75	Survey variant of Pegasus, EW=2.
PFT	12	3-7P◆/0-4P	F&E	6	Y180	PGS(3)	From PGS: 5	For DD: 11	1.75	PF Tender, Scout (EW=2)
WAR CRUISERS AND LIGHT CRUISERS										
HR	10	5-7(3)/4(1)	F&E	6	Y167	CW(3)	From TR: 3+3	Schedule: 5+3	1.25	Base Hull (Fusion-CW) §
TR	11	7/4	F&E	6	Y168	CW(3)	From HR: 3	Schedule: 5	1.25	Base Hull (Hellbore-CW) §
LTT	38	3-7(2)/0-4(1)	CO	6	Y171	CW(3)	"From HR: 3
From TR: 3+2"	For CW: 5+2	1.25	Light Tactical Transport
NSC	36	2-7(3)◆/0-4(1)	F&E	6	Y172	CW(3)	"From HR: 3
From TR: 3+3"	For CW: 8+3	1.25	Scout; EW =3 §
CAT	53	2-7G(1)/1-4G	CO	6	Y172	CW(3)	"From HR: 2
From TR: 2+1"	For CW: 5+1	1.25	Commando ship §
NCV	33	3-7(6)/1-4(3)	F&E	6	Y173	CW(3)	"From TR: 2+12
From HR/NEC: 2+9"	For CW: 7+12	1.25	Medium True Carrier
NCV (3NCV)	—	11-18(9)/6-10(4) NCV+NEC+AH	F&E	6	Y173	Group	"From 2CW+FF: 4+
Fighters"	Individual Ships	Ships	Medium Carrier Group
NEC	34	5-7(3)■/3-4(1)■	F&E	6	Y173	CW(3)	"From HR: 1
From TR: 1+3"	For CW: 6+3	1.25	Heavy Escort §
MCL	114	7✛/4	NO?	6	Y175	CW(3)	From CW: 4	For CW: 7	1.25	Conjectural Mauler
CMM	114		NO?		Y175	CW(3)	From:	For:		Conjectural Mauler
CVM (3CVM)	—	12-20(13)/8-11(6) CVM+NEC+DWE	FO	6	Y176	Group	Individual Ships	Individual Ships	Ships	Medium Carrier Group
CVM	47	2-7(9)/1-4(5)	FO	6	Y176	CW(3)	"From HR: 2+15
From TR: 2+18
From NCV: 1+6"	For CW: 7+18	1.25	Medium True Carrier; one oversized squadron.
SEN	89	3-7◆(8H)/1-4(4H)	FO	6	Y177	CW(3)	"From NCV: 3+4
From CVM: 3+2
From HR 5+13
From TR 5+16."	For CW: 9+16	1.25	Scout (Medium) Carrier, heavy fighters, EW=2.
NPF	37	3-7P◆/1-4P	F&E	6	Y180	CW(3)	From CW: 5	For CW: 10	1.25	PF Tender, Scout (EW=2)
ASSORTED STRANGE AND SPECIAL CASE SHIPS										
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
