Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
BATTLESHIPS										
B10	17	20(4)/10(2)	F&E	10	Y171 (436.0)	B10 (2)	"From B10V/S: 2
From B10-: 0+8"	Special Rules: 36+8	10.8	Base Hull (BB). See (436.0).
B10(-)	17	20/10	FO	10	Y171 (436.0)	B10 (2)	From B10V/S: 2	Special Rules: 36	10.8	B10 without fighters; See (436.0).
B10A	17A	20A(4)/10(2)	CO	10	Y171 (436.0)	B10 (2)	"From B10: 3 or 6
See (312.321)."	Must Convert	10.8	Stasis Field Generator Variant (312.0)
B8	106	16/8	AO	10	Y175	B8(2)	Special: (525.324)	Special: (525.324)	7.8	Unique Ship (525.324)
B9	A11	16F/8F	CL31	9	Y175	B9(2)	None	For B10: 30	9.0	Fast Raiding Battleship
B10V	83	20(12)/10(6)	FO	10	Y175 (436.0)	B10 (2)	From B10: 4+16	Special Rules: 38+24	10.8	Heavy carrier variant of B10 (436.0).
B11	82	22(4)/11/(2)	REIN	10	Y175 (436.0)	B11(2)	From B10: 6	Special Rules: 40+8	12.0	Heavy variant of B10.
B10S	84	20(6)P/10(3)P	FO	10	Y179 (436.0)	B10 (2)	"From B10: 5+4
From B10V: 5
From B10-: 5+12"	Special Rules: 41+12+PFs	10.8	SCS variant of B10 (436.0).
B11A		22A(4)/11/(2)	Future	10		B11(2)	"From B11: 3 or 6
(See 312.321)
From B10: 8 or 11‡"	Must Convert	12	Stasis Field Generator Variant (312.0)
B9A		16AF/8F		9		B9(2)	From B9: 3	Must Convert	9.0	Fast Raiding Battleship with SFG (312.0)
DREADNOUGHTS										
C8	3	12/6	F&E	10	Y167	C8 (2)	From C8: (440.4)	Schedule: 16	4.8	Base Hull Type (DN)
C5	104	11F/6	AO	9	Y167	C5(2)	From C5A: 1	For C8: 16	4.2	Fast Dreadnought (525.1)
C8V	28	10-12(12)/5-6(6)	F&E	10	Y174	C8 (2)	From C8: 4+24	For C8: 18+24	4.8	Heavy Carrier
C8V (4C8V)	—	24-29(12)/12-16(6) C8V+AD5+2F5E	F&E	10	Y174	Group	Individual Ships	Individual Ships	Ships	Heavy Carrier Group
C9A	71	10-12A/5-6	CO	10	Y175	C8 (2)	From C8: 3	Must Convert	4.8	Stasis Field Generator Variant (312.0)
C5A	104A	9-11AF/6	AO	9	Y176	C5(2)	From C5: 3	Must Convert	4.2	Fast Dreadnought with SFG (525.1)
WD5	143	13/7	SO	9	177	WD5(2)	"From D5: 10
From D5W: 9"	For D5W or DN: 15	3.9	Conjectural War Dreadnought
C10	103	14/7	AO	10	Y179	C8 (2)	From C8: 2	Schedule: 18	5.4	Heavy Variant
C8S	70	10-12(6P)/5-6(3P)	F&E	10	Y179(B)	C8 (2)	"From C8: 5+12
From C8V: 5"	For C8: 21+12	4.8	Space Control Ship
C8S (4C8S)	—	"24-29P(6)/ 12-
16P(3) C8S+AD5+2F5E"	CO	10	Y179(B)	Group	Individual Ships	Individual Ships	Ships	Space Control Ship Group
C10V	R3.A21	"11-14(8H6)/
6-7(4H3)"	TO?	10	Y181	C8(2)	"From C8V: 3+4
From C10: 4+28
From C8: 5‡+28"	For C8: 20+28	5.40	Heavy carrier version of heavy dreadnought
C7 HEAVY BATTLECRUISERS										
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
C7	72	10/5	F&E	10	Y177	C7 (3)	See (440.4).	For D7 or C8: 10	3.0	Base Hull Type (BCH)
C7V	86	10(6)/5(3)	AO	10	Y181	C7 (3)	From C7: 2+12	For C7 or C8: 12+12	3.0	Medium Carrier
C7S	87	10P(3)/5P(1)	AO	10	Y183	C7 (3)	"From C7: 5+6
From C7V: 2"	For C7 or C8: 15+6	3.0	Battle Control Ship (525.24)
C7A	73	8-10A/4-5	CO	10	Y184	C7 (3)	From C7: 3	Must Convert	3.0	Stasis Field Generator Variant (312.0)
D7 BATTLECRUISERS										
D7	4	8/4	F&E	8	Y134	D7 (3)	See (440.4).	Schedule: 8	2.4	Base Hull Type (CA)
D7E	43	7-8◆/4	SO	8	Y137	D7(3)	From D7: 5	For D7: 13	2.4	Survey Ship, Scout, (2EW:2AF)(1EW:7AF)
D7N	45	8DD/4DD	SO	8	Y137	D7(3)	From D7: 2+2xDIP	For D7: 8 + 2xDIP	2.4	Diplomatic Cruiser (540.3)
D7C	31	9/5	F&E	9	Y142	D7 (3)	From D7: 2	For D7(Y179+): 9	2.7	Command Variant
FD7	92	7-8F/4	AO	8	Y162	D7 (3)	From D7: 3	For D7: 10	2.4	Fast Cruiser (525.1)
D7A	8	6-8A/3-4	CO	8	Y165	D7 (3)	From D7: 3	Must Convert	2.4	Stasis Field Generator Ship (312.0)
D7V	44	7-8(6)/3-4(3)	F&E	8	Y171	D7 (3)	From D7: 2+12	For D7: 10+12	2.4	Medium Carrier
DV (3DV)	—	11-16(6)/5-8(3) D7V+2xE4A	F&E	8	Y171	Group	Individual Ships	Individual Ships	Ships	Medium Carrier Group
DVS (3DVS)	—	17-20(6)/8-11(3) D7V+AD5+F5E	F&E	8	Y171	Group	Individual Ships	Individual Ships	Ships	Medium Carrier Group
D7D	42	9/4	CO	8	Y176	D7 (3)	From D7: 1	For D7: 8.5	2.4	Improved Combat Variant
D7U	109	"4-9◆(8H6)
/2-5(4H3)"	FO	8	Y176	D7(3)	"From D7: 5+28
From D7V: 3+16"	For D7C: 13+28	2.7	Area Control Ship, Scout EW=2, Heavy/Medium Carrier.
UD7	156	5-9P(6)◆/3-5P(3)	FO	9	Y179	D7(3)	"From D7: 5+12
From D7V: 3"	For D7C: 14+12	2.7	Division Control Ship, Scout EW=2, Medium/Heavy Carrier+PFT.
DX	201	13/7	AO	10	Y180	D7 (3)	"From D7C: 6
From D7: 7"	For D7: 13	3.9	X-Ship
D6 HEAVY CRUISERS										
D6	5	7-8/4	F&E	8	Y121	D6 (3)	See (440.4).	Schedule: 8	2.4	Base Hull Type (CA)
D6G	48	3-8GG/2-4G	CO	8	Y124	D6 (3)	From D6/D7: 3	For D6/D7: 8	2.4	Commando Ship
D6J	36	6-8/3-4	AO	7	Y124	D6 (3)	From D6/D7: 1	For D6/D7: 9	2.4	Penal Ship
D6E	46	6-8◆/3-4	SO	8	Y125	D6(3)	From D6: 5	For D6: 13	2.4	Survey Ship, Scout, (2EW:2AF)(1EW:6AF)
D6D	32	7-8<4>◆/4	F&E	8	Y134	D6 (3)	"From D6/D7: 3
From D6S: 2"	For D6/D7: 11	2.4	Drone Bombardment, Scout, EW = 2
D6L	A20	8-9/5	NO?	9	Y146	D6(3)	From D6: 2	For D6/7: 8.5	2.55	Unbuilt Command Variant
D6S	47	4-8◆/2-4	CO	8	Y159	D6 (3)	From D6/D7: 4	For D6/D7: 12	2.4	Heavy Scout; EW = 4
D6V	21	6-8(5)/3-4(3)	F&E	8	Y166	D6 (3)	"From D6/D7: 2+10
From D6Y: 1+5"	For D6/7: 10+10	2.4	Medium Carrier
D6V (3D6V)	—	10-16(5)/5-8(3) D6V+2E4A	F&E	8	Y166	Group	Individual Ships	Individual Ships	Ships	Medium Carrier Group
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
D6Y	114	6-8(2▲)/3-4(1)	FO	8	Y166	D6(3)	From D6: 2+5	For D6: 10+5	2.4	Experimental Carrier.
D6M	33	10✛/4	F&E	8	Y167	D6 (3)	From D6/D7: 5	For D6/D7: 10	2.4	Mauler
D6U	110	3-8(12)/1-4(6)	FO	8	Y173	D6(3)	"From D6: 3+24
From D6V: 2+14"	For D6: 10+24	2.4	Interdiction Carrier (CVD). Oversized Squadron. Medium Carrier.
AD6	76	6-8■/3-4■	AO	8	Y176	D6 (3)	From D6: 1	For D6/D7: 9	2.4	Heavy Escort; unique (525.325)
D6P	22	4-8P◆/2-4P	F&E	8	Y179	D6 (3)	From D6/D7: 5	For D6/D7: 13	2.4	PFT, Scout, (2EW:2AF)(1EW:4AF)
D5W NEW HEAVY CRUISERS										
DDW (D5DW)	129	9-8/4	SO	8	Y175	D5W(3)	"From D5‡: 3
From D5D‡: 3
From D5W: 1"	"For D5W: 6.5
Max one/turn"	1.8	Drone combat variant of D5W (NCA).
DWA (D5WA)	126	6-8A/3-4	SO	8	Y175	D5W(3)	"From D5: 6 (Minor) From D5A: 3
From D5W: 3"	Must Convert	1.8	Stasis variant of D5W (NCA).
DWB (D5WB)	142	3-8◆(8H)/1-4(4H)	SO	8	Y175	D5W(3)	"From D5: 5+16
From D5W: 2+16
From D5B: 3"	For D5W: 11+16	1.8	Heavy Scout Carrier, EW=3, heavy fighters
DWG (D5WG)	128	3-8GT/1-4G	SO	8	Y175	D5W(3)	"From D5‡: 3
From D5G: 3
From D5W: 1"	For D5W: 6	1.8	Heavy Commando Cruiser, variant of D5W (NCA). Can carry one pod (same types as D5G).
DWJ (D5WJ)	123	7-8/3-4	SO	8	Y175	D5W(3)	"From D5‡: 3
From D5J: 3
From D5W: 1"	For D5W: 7	1.8	Penal variant of D5W (NCA). See (528.0) for special rules. Can replace D6J.
DWL (D5WL)	116	9/5	SO	9	Y175	D5W(3)	From D5‡: 4 (Minor) From D5W: 2	For D5W: 7	2.1	Command Variant of D5W (NCA).
DWN (D5WN)	125	8D/4D	SO	8	Y175	D5W(3)	"From D5‡: 5 + DIP From D5N: 3
From D5W: 2 +DIP"	For D5W: 6+DIP	1.8	"Diplomatic variant of D5W (NCA). See special diplomatic rules (540.3).
Construction limit. Can replace D7N."
DWS (D5WS)	124	4-8◆/2-4	SO	8	Y175	D5W(3)	"From D5‡: 6
From D5S: 4
From D5W: 4"	For D5W: 10	1.8	Scout Variant of D5W (NCA). EW=4.
DWV (D5WV)	117	7-8(6)/4(3)	FO	8	Y175	D5W(3)	"From D5W: 2+12
From D5V: 3
From D5‡: 4+12"	For D5W: 8+12	1.8	Medium Carrier Variant of NCA.
D5W	89	8/4	CO	8	Y175	D5W(3)	From D5: 3	Schedule: 6	1.8	Base Hull Type (NCA)
FDW (FD5W)	118	7-8F/3-4	SO	8	Y175	D5W(3)	"From D5: 5
From D5W: 2"	"For D5W: 8
(525.12)"	1.8	Fast raider (525.1) variant of D5W (NCA).
MDW (MD5W)	127	9✛/4	SO	8	Y175	D5W(3)	"From D5‡: 7
From MD5: 3
From D5W: 4"	For D5W: 9	1.8	Mauler variant of D5W (NCA).
ADW (AD5W)	152	7-8■/3-4■	SO	8	Y176	D5W(3)	"From D5‡: 3
From AD5: 3
From D5W: 1"	For D5W: 7	1.8	Escort Cruiser, variant of D5W (NCA).
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
DWD (D5WD)	119	8[4]◆/4	SO	8	Y176	D5W(3)	"From D5‡: 5 (Minor) From D5D: 3
From D5W: 3
From D5S‡: 4"	For D5W: 9	1.8	Drone bombardment variant of D5W (NCA). Scout, EW=2.
DWP (D5WP)	121	6-8P◆/3-4P	SO	8	Y179	D5W(3)	"From D5‡: 7
From D5P: 3
From D5W: 5"	For D5W: 11	1.8	PF Tender variant of D5W (NCA). (2EW:2AF)(1EW:6AF)
DWU (D5WU)	122	4-8P(6)◆/2-4P(3)	FO	8	Y179	D5W(3)	"From D5W: 5+12
From D5: 7‡+12 From D5V: 5"	For D5W: 10+12	1.8	Division Control Variant of NCA. Scout EW=2. Heavy/Medium Carrier+PFT.
EDW (ED5W)	120	7-8◆/4	SO	8	Y188	D5W(3)	"From D5W: 5
From D5WS: 3"	For D5W: 11	1.8	Survey Ship, Scout, (2EW:2AF)(1EW:7AF)
TUGS										
TGB	10	4-8/2-4	F&E	6	Y123	TG (3)	From TGA: 2	For D6/D7: 6	1.8	Tug
TGA	9	8/4	F&E	8	Y140	TG (3)	From TGB: 5	For D6/D7: 8	2.4	Tug
CVT	16	7-8(5)/3-4(3)	F&E	9	Y167	TG (3)	Unconvert to TGA no cost (pods lost)	Add CV pods to tug	3.4	Medium Carrier
CVT (3CVT)	—	11-16(5)/5-8(3) CVT+2E4A	FO	9	Y167	Group	None	None	Ships	Carrier Tug Group available at start; see Tug/pod rules for others
CVT+	—	7-8(6)/3-4(3)	FO	9	Y172	Tug(3)	From CVT: 1+2	Pods + Ship	3.4	Improved Carrier Tug.
PODS										
CP		0/None	F&E (subsumed)	0	Y123	Pod	None	NA	0	Cargo Pod (subsumed)
T-POD	13	0G/None	CO	0	Y124	Pod	None	(521.712): 2	0.5	Troop Pod, tug or LTT; max 4.
BP	14	2/None	F&E	2	Y144	Pod	None	(431.22): 4	0.5	Battle Pod; Max 4 in service.
DP	68	2<2>◆/None	CO	0	Y149	Pod	None	(431.22): 6	0.5	Drone pod; scout, EW=1; Limit 2 in service.
REP POD	—	0/None	F&E	0	Y159	Tug Mission	—NA—	Replacement: 5	0.0	See (422.8)
REP POD	—	0/None	F&E	0	Y159	Tug Mission	—NA—	Replacement: 5	0.0	See (422.8)
