Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
DN DREADNOUGHT										
DN			NO?							Conjectural
BCH HEAVY BATTLECRUISER										
BCH	17	10/5	CO	10	Y179	BCH(3)	From BC: 2	Schedule: 10	2.5	Basic Hull Type (BCH); Lease = 2.5
BCS	38	10(3)P/5(1)P	AO	10	Y180	BCH(3)	"From BC: 7+6
From BCH: 6+6
From BCV: 2"	For BCH: 15+6	2.5	Battle Control Ship (525.54); Lease = 3.25+
BCV	37	10(6)/5(3)	AO	10	Y180	BCH(3)	"From BC: 3+12
From BCH: 2+12"	For BCH: 12+12	2.5	Medium Carrier; Lease = 4
BC BATTLECRUISER										
BC	27	9/5	AO	9	Y174	BC(3)	From BC?: 2	Schedule: 9	2.25	Basic Hull Type (BC); Lease = 2.25
CA HEAVY CRUISER										
CA	3	8/4	F&E	8	Y131	CA(3)	See (440.4).	Schedule: 8	2.0	CA Basic Hull; Lease = 2
CVD	41	3-8(12)/1-4(6)	FO	8	Y175	CA(3)	From CA: 3+24	For CA: 10+24	2.0	Medium Carrier, Lease = 3, Oversized Squadron.
CX	201	14/7	AO	9	Y183	CA(3)	From CA: 8	For CA: 14	3.5	X-Ship; Lease = 3.5 §
BRH HEAVY BATTLE RAIDER										
BRH	29	8/4	SO	8	Y175	BRH(3)	From BR: 3	For BR: 6	1.5	Heavy Battle Raider (NCA)
BHV	45	8(6)/4(3)	FO	8	Y175	BRH(3)	"From BR: 3+12
From BRH: 2+12
From CVS: 1"	For BR: 6+12	1.5	Carrier Variant of BRH (NCA).
BHP	46	4-8◆P/2-4P	SO	8	Y180	BRH(3)	"From BRH: 5
From BRP: 3
From BR: 6"	For BR: 11	1.5	PFT variant of BRH (NCA). EW=2.
BR BATTLE RAIDER										
BR	13	7/4	F&E	6	Y167	BR(3)	See (440.4).	Schedule: 5	1.25	CW: Basic Hull; Lease = 1.75 §
