Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
ARCHAEO-THOLIANS										
BATTLESHIP										
BB	J6									Conjectural battleship.
DREADNOUGHT										
DN	5	10/5	F&E	10	Y167	DN(2)	From 3PC: 6	Schedule: 12	3	Basic Hull (DN)
DP	31	11-10/5	SO	10	Y170	DN(2)	From DN: 2	For DN: 13	3.0	Heavy combat variant of D.
DNV	45	10(6)/5(3)	FO	10	Y178	DN(2)	From DN: 2+12	For DN: 14+12	3.0	Heavy Carrier
DH	44	12/6	AO	10	Y180	DN(2)	"From DN: 2
From 2xPC+DD: 6"	Schedule: 16	4.0	Heavy Variant
DPW	69	11-10W/5W	SO	10	Y180	DN(2)	"From DN: 3
From DP: 2"	For DN: 15	3.0	Heavy combat variant of D with Web Casters.
DNS	46	10P(6)/5P(3)	FO	10	Y181	DN(2)	"From DN: 5+12
From DNV: 5"	For DN: 17+12	3.0	Space Control Ship
DHW	44	12W/6W	AO	10	Y184	DN(2)	"From DN: 2
From 2xPC+DD: 6"	Schedule: 16	4.0	Heavy Variant with Web Caster
HEAVY CRUISER										
CA	20	8/4	F&E	8	Y159	CA(3)	From 2xPC: 4	Schedule: 8	2.0	Basic Hull (CA)
CC	15	9/4	CO	9	Y164	CA(3)	From CA: 2	For CA: 9	2.25	Command Variant
CVA	9	4-8(12)/2-4(6)	F&E	10	Y173	CA(3)	"From CA: 3+24
From 2xBW: 5+8
From 2xPC: 7+24"	For CA: 10+24	2.0	Medium Carrier, oversized squadron.
CVA (3CVA)	—	12-16(12)/6-8(6) CVA+2PCE	F&E	10	Y173	Group	Individual Ships	Individual Ships	Ships	Medium Carrier Group
CAM	938	10✛/4	NO?	6	Y175	CA(3)	From CA: 5	For CA: 10	2.0	Conjectural Mauler
CVH	9	4-8(8H6)/2-4(4H3)	AO	10	Y178(B)	CA(3)	"From CA: 2+28
From CVA: 0+4"	For CA: 10+28	2.0	Medium Carrier operating heavy fighters
CAW	68	8W/4	AO	8	Y179	CA(3)	From CA: 2	For CA: 10	2.0	Web Caster Variant
CCX	201	11W/6	AO	10	Y183	CA(3)	"From CA: 6
From CAW: 5
From CC: 5"	For CA: 11	2.75	X-Ship
CCW	67	9W/4	SO	9	Y184	CA(3)	"From CA: 4
From CAW: 2
From CC: 2"	For CA: 11	2.25	Command Cruiser with Web Casters
WAR CRUISER										
CW	19	7/4	CO	6	Y179	CW(3)	"From CW?: 1(V2)
From 2xPC: 3
From DD: 3"	Schedule: 5	1.25	CW: Basic Hull §
CWE	37	6-7■/3-4■	CO	6	Y179	CW(3)	"From CW: 1
From PCE: 3
From PCE+PC: 3"	For CW: 6	1.25	Heavy Escort §
Designation	"SFB
Ref #"	Factors On Counter	Product	Cmnd (754.0)	Date Avail	Base Hull; Size (755.0)	Conversion Cost, Source	Build Cost or Substitution	Salvage (439.0)	Notes and Special Cases; EW, Shock
